Number,Name,Position,Date of Birth,Age,Nationality,Birth Country,Place of Birth,Height,Market Value,Main Position,Other Positions,Nationality 1,Nationality 2,Position 2,Position 3
,Joel Mateus,Right-Back,"Jun 18, 1996 ",27,Portugal,Portugal,Matosinhos,"1,73",-,Defender,,Portugal,,,
,Rui Jesus,Right-Back,"Jan 28, 1996 ",28,Portugal,Portugal,Guimaraes,"1,77",-,Defender,,Portugal,,,
,Rúben Milho,Right-Back,"Apr 24, 1996 ",27,Portugal,Portugal,,,-,Defender,,Portugal,,,
55.0,Pedro Ferreira,Right-Back,"May 28, 1996 ",27,Portugal,Portugal,,,-,Defender,LB,Portugal,,LB,
,Miguel Viegas,Right-Back,"Feb 17, 1996 ",28,Portugal,Portugal,Odemira,,-,Defender,CB,Portugal,,CB,
2.0,Gonçalo Pimenta,Right-Back,"Aug 1, 1996 ",27,Portugal,Portugal,Povoa de Varzim,"1,81",-,Defender,RM,Portugal,,RM,
,António Pedro,Right-Back,"Jul 5, 1996 ",27,Portugal,Portugal,Ponte de Sor,,-,Defender,,Portugal,,,
23.0,Chico,Right-Back,"Jan 24, 1996 ",28,Portugal,Portugal,Fafe,"1,80",-,Defender,,Portugal,,,
10.0,Stephane Gomes,Right-Back,"May 2, 1996 ",27,"Portugal, Cape Verde",Portugal,,"1,80",-,Defender,RM   CF,Portugal, Cape Verde,RM,CF
19.0,Rui Silva,Right-Back,"Jun 5, 1996 ",27,Portugal,Portugal,Lourosa,"1,78",-,Defender,LB   RM,Portugal,,LB,RM
96.0,Tiago Melo,Right-Back,"Oct 5, 1996 ",27,Portugal,Portugal,Oliveira de Azemeis,"1,80",-,Defender,RM   CB,Portugal,,RM,CB
2.0,Bruno Sousa,Right-Back,"May 15, 1996 ",27,Portugal,Portugal,Paredes,"1,72",-,Defender,DM,Portugal,,DM,
11.0,Paulinho,Right-Back,"Dec 10, 1996 ",27,Portugal,Portugal,Pacos de Ferreira,,-,Defender,,Portugal,,,
15.0,João Pereira,Right-Back,"Jan 12, 1996 ",28,Portugal,Portugal,Palmela,,-,Defender,,Portugal,,,
,Emanuel,Right-Back,"Feb 13, 1996 ",28,Portugal,Portugal,Paredes,"1,80",-,Defender,CB,Portugal,,CB,
,Isaac Fernandes,Right-Back,"Jan 30, 1996 ",28,Portugal,Portugal,Lisboa,"1,80",-,Defender,CB,Portugal,,CB,
,Bernardo Carlos,Right-Back,"Feb 12, 1996 ",28,Portugal,Portugal,Lisboa,"1,76",-,Defender,CB   RM,Portugal,,CB,RM
2.0,Fernando Fonseca,Right-Back,"Mar 14, 1997 ",27,Portugal,Portugal,Porto,"1,83",€250k,Defender,LB,Portugal,,LB,
21.0,João Soares,Right-Back,"May 1, 1997 ",26,Portugal,Portugal,Horta,,-,Defender,,Portugal,,,
20.0,André Andrade,Right-Back,"Jul 19, 1997 ",26,Portugal,Portugal,,,-,Defender,,Portugal,,,
2.0,Edgar Teixeira,Right-Back,"Nov 27, 1997 ",26,Portugal,Portugal,,"1,77",-,Defender,,Portugal,,,
2.0,Rui Ribeiro,Right-Back,"Sep 13, 1997 ",26,Portugal,Portugal,Esposende,"1,74",-,Defender,CB   DM,Portugal,,CB,DM
,Bruno Saraiva,Right-Back,"May 31, 1997 ",26,Portugal,Portugal,Lisboa,"1,79",-,Defender,RM,Portugal,,RM,
27.0,Sardinha,Right-Back,"Aug 11, 1997 ",26,Portugal,Portugal,Felgueiras,"1,70",-,Defender,RM   RW,Portugal,,RM,RW
22.0,Cláudio Tavares,Right-Back,"Mar 23, 1997 ",27,"Cape Verde, Portugal",Portugal,Lisboa,"1,83",-,Defender,RM   CB,Cape Verde, Portugal,RM,CB
85.0,Diogo Castro,Right-Back,"Jan 7, 1997 ",27,Portugal,Portugal,Paredes,"1,83",-,Defender,CB   DM,Portugal,,CB,DM
,Gonçalo Duarte,Right-Back,"Jul 11, 1997 ",26,Portugal,Portugal,Moita,"1,77",-,Defender,RM   RW,Portugal,,RM,RW
20.0,Gonçalo Araújo,Right-Back,"Jan 6, 1997 ",27,Portugal,Portugal,Estremoz,"1,68",-,Defender,LB,Portugal,,LB,
97.0,Francisco Afonso,Right-Back,"Apr 24, 1997 ",26,Portugal,Portugal,Estarreja,"1,76",-,Defender,LB,Portugal,,LB,
2.0,Paulinho Pinto,Right-Back,"Jun 24, 1997 ",26,Portugal,Portugal,Amarante,"1,80",-,Defender,LB,Portugal,,LB,
,Diogo Relvas,Right-Back,"Feb 7, 1997 ",27,Portugal,Portugal,Santa Maria da Feira,"1,75",-,Defender,,Portugal,,,
,Afonso Araújo,Right-Back,"Feb 1, 1997 ",27,Portugal,Portugal,Ponte de Lima,"1,77",-,Defender,RM   LB,Portugal,,RM,LB
6.0,Leandro Ari,Right-Back,"Mar 7, 1997 ",27,"Portugal, Angola",Portugal,Albufeira,"1,74",-,Defender,LB   CM,Portugal, Angola,LB,CM
2.0,João Afonso,Right-Back,"Nov 19, 1997 ",26,Portugal,Portugal,Lisboa,"1,76",-,Defender,CB,Portugal,,CB,
,Pedro Henriques,Right-Back,"Sep 22, 1997 ",26,Portugal,Portugal,Tomar,"1,75",-,Defender,RM   RW,Portugal,,RM,RW
15.0,Daniel Monteiro,Right-Back,"May 15, 1997 ",26,Portugal,Portugal,Vila Real,"1,85",-,Defender,CB,Portugal,,CB,
,Chico,Right-Back,"Aug 29, 1997 ",26,Portugal,Portugal,Joane,"1,72",-,Defender,DM   CM,Portugal,,DM,CM
2.0,Gonçalo Tavares,Right-Back,"May 16, 1997 ",26,Portugal,Portugal,Odivelas,"1,80",-,Defender,CB   LB,Portugal,,CB,LB
,Óscar Barros,Right-Back,"Jun 16, 1997 ",26,Portugal,Portugal,Pacos de Ferreira,"1,71",-,Defender,,Portugal,,,
,Hugo Santos,Right-Back,"Jun 8, 1997 ",26,Portugal,Portugal,Mafra,"1,68",-,Defender,CB   RM,Portugal,,CB,RM
,João Coelho,Right-Back,"Feb 3, 1997 ",27,Portugal,Portugal,Lisboa,"1,70",-,Defender,LB,Portugal,,LB,
13.0,Pedro Pereira,Right-Back,"Jan 22, 1998 ",26,Portugal,Portugal,Vendas Novas,"1,85",€1.80m,Defender,RM,Portugal,,RM,
67.0,Alex Pinto,Right-Back,"Jul 8, 1998 ",25,Portugal,Portugal,Guimaraes,"1,87",€600k,Defender,,Portugal,,,
2.0,Calila,Right-Back,"Oct 10, 1998 ",25,Portugal,Portugal,Seixal,"1,80",€300k,Defender,RM,Portugal,,RM,
16.0,Pedro Albino,Right-Back,"Dec 21, 1998 ",25,Portugal,Portugal,Olhao,"1,70",€200k,Defender,RM,Portugal,,RM,
20.0,David Rodrigues,Right-Back,"May 18, 1998 ",25,Portugal,Portugal,,"1,82",-,Defender,RM,Portugal,,RM,
22.0,Daniel Fernandes,Right-Back,"Jan 10, 1998 ",26,Portugal,Portugal,Vinhais,"1,80",-,Defender,RM   CM,Portugal,,RM,CM
,Pedro Balixa,Right-Back,"Apr 7, 1998 ",26,Portugal,Portugal,,,-,Defender,,Portugal,,,
77.0,Miguel Silva,Right-Back,"Oct 13, 1998 ",25,Portugal,Portugal,,"1,78",-,Defender,LB   RM,Portugal,,LB,RM
40.0,Alexandre Lavrador,Right-Back,"Oct 2, 1998 ",25,Portugal,Portugal,Montemor-o-Velho,"1,75",-,Defender,RM   CM,Portugal,,RM,CM
,Harry Hodgson,Right-Back,"Dec 27, 1998 ",25,"England, Portugal",Portugal,,,-,Defender,,England, Portugal,,
,Mário Costa,Right-Back,"Apr 6, 1998 ",26,Portugal,Portugal,Montalegre,"1,70",-,Defender,RM   RW,Portugal,,RM,RW
,Daniel Oliveira,Right-Back,"Jan 15, 1998 ",26,Portugal,Portugal,Mafra,"1,69",-,Defender,RM   LB,Portugal,,RM,LB
,José Ferreira,Right-Back,"Aug 24, 1998 ",25,Portugal,Portugal,Lisboa,"1,75",-,Defender,LB   RW,Portugal,,LB,RW
2.0,Zé Carlos,Right-Back,"Jul 31, 1998 ",25,Portugal,Portugal,Porto,"1,78",€700k,Defender,RW,Portugal,,RW,
71.0,Diga,Right-Back,"Mar 30, 1998 ",26,Portugal,Portugal,Santa Maria da Feira,"1,77",€350k,Defender,DM   RM,Portugal,,DM,RM
25.0,Casimiro,Right-Back,"Dec 14, 1998 ",25,Portugal,Portugal,Oliveira de Azemeis,"1,76",€275k,Defender,RM   CB,Portugal,,RM,CB
27.0,Rodrigo Macedo,Right-Back,"Jul 14, 1998 ",25,Portugal,Portugal,,"1,85",€75k,Defender,LB   RM,Portugal,,LB,RM
27.0,Gonçalo Martins,Right-Back,"May 29, 1998 ",25,Portugal,Portugal,Faro,"1,70",-,Defender,RM,Portugal,,RM,
33.0,André Martins,Right-Back,"May 12, 1998 ",25,Portugal,Portugal,,"1,67",-,Defender,,Portugal,,,
,Carlos Diogo,Right-Back,"Sep 7, 1998 ",25,Portugal,Portugal,,"1,83",-,Defender,RM   RW,Portugal,,RM,RW
,Márcio Miranda,Right-Back,"Nov 24, 1998 ",25,Portugal,Portugal,Aveiro,"1,79",-,Defender,,Portugal,,,
,João Flores,Right-Back,"Apr 15, 1998 ",25,Portugal,Portugal,Povoa do Varzim,"1,70",-,Defender,,Portugal,,,
2.0,Gonçalo Lixa,Right-Back,"Dec 28, 1998 ",25,Portugal,Portugal,Gondomar,"1,72",-,Defender,LB   RW,Portugal,,LB,RW
,Rui Pedreira,Right-Back,"Dec 28, 1998 ",25,Portugal,Portugal,Moncao,"1,79",-,Defender,LB,Portugal,,LB,
,Rúben Borges,Right-Back,"Mar 22, 1998 ",26,Portugal,Portugal,Maia,"1,68",-,Defender,LB,Portugal,,LB,
,Gonçalo Medeiros,Right-Back,"Nov 24, 1998 ",25,Portugal,Portugal,Matosinhos,"1,76",-,Defender,RW   SS,Portugal,,RW,SS
,Nuno Longo,Right-Back,"Jul 1, 1998 ",25,Portugal,Portugal,,"1,74",-,Defender,,Portugal,,,
70.0,Ricardo Lamy,Right-Back,"Oct 21, 1998 ",25,Portugal,Portugal,Portimao,"1,75",-,Defender,LB,Portugal,,LB,
21.0,Marcelo Dias,Right-Back,"Jun 1, 1998 ",25,Portugal,Portugal,Agueda,,-,Defender,RM   RW,Portugal,,RM,RW
13.0,Denil Carreira,Right-Back,"Sep 15, 1998 ",25,Portugal,Portugal,Lisboa,"1,80",-,Defender,,Portugal,,,
,Telmo Marcos,Right-Back,"Jun 11, 1998 ",25,Portugal,Portugal,Serta,,-,Defender,LB   RM,Portugal,,LB,RM
,Reigones,Right-Back,"Oct 11, 1998 ",25,Portugal,Portugal,Covilha,"1,82",-,Defender,RM   RW,Portugal,,RM,RW
,Fábio Manecas,Right-Back,"Oct 31, 1998 ",25,Portugal,Portugal,Tondela,"1,76",-,Defender,,Portugal,,,
,João Simões,Right-Back,"Mar 4, 1998 ",26,Portugal,Portugal,Coimbra,"1,78",-,Defender,,Portugal,,,
,Diogo Loureiro,Right-Back,"Mar 5, 1998 ",26,Portugal,Portugal,Porto,"1,75",-,Defender,CB,Portugal,,CB,
,Robson Mariano,Right-Back,"Jun 19, 1998 ",25,"Portugal, Angola",Portugal,,"1,77",-,Defender,RW,Portugal, Angola,RW,
13.0,Bruno Oliveira,Right-Back,"Nov 24, 1998 ",25,Portugal,Portugal,Lisboa,"1,75",-,Defender,LB   RM,Portugal,,LB,RM
,Kiko Miranda,Right-Back,"Feb 10, 1998 ",26,Portugal,Portugal,Elvas,"1,73",-,Defender,LB   RW,Portugal,,LB,RW
27.0,João Antunes,Right-Back,"Feb 1, 1998 ",26,Portugal,Portugal,Braga,"1,68",-,Defender,RM   CM,Portugal,,RM,CM
16.0,Fabinho,Right-Back,"Jul 25, 1998 ",25,Portugal,Portugal,Faro,"1,70",-,Defender,RM,Portugal,,RM,
21.0,André Farinha,Right-Back,"Apr 6, 1998 ",26,Portugal,Portugal,Evora,"1,75",-,Defender,RW,Portugal,,RW,
,José Amorim,Right-Back,"Aug 8, 1998 ",25,Portugal,Portugal,Ribeirao,"1,76",-,Defender,,Portugal,,,
13.0,Timóteo,Right-Back,"Sep 4, 1998 ",25,Portugal,Portugal,Pacos de Ferreira,"1,83",-,Defender,RM,Portugal,,RM,
2.0,Miguel Anjos,Right-Back,"Jan 3, 1998 ",26,Portugal,Portugal,Estarreja,"1,79",-,Defender,LB   RW,Portugal,,LB,RW
20.0,Diogo Dalot,Right-Back,"Mar 18, 1999 ",25,Portugal,Portugal,Braga,"1,83",€35.00m,Defender,RM   LB,Portugal,,RM,LB
82.0,Tomás Silva,Right-Back,"Oct 15, 1999 ",24,Portugal,Portugal,Viana do Castelo,"1,72",€600k,Defender,CM   RM,Portugal,,CM,RM
2.0,Diogo Rodrigues,Right-Back,"Aug 23, 1999 ",24,Portugal,Portugal,Vendas Novas,"1,83",€450k,Defender,RM   RW,Portugal,,RM,RW
68.0,Maga,Right-Back,"Apr 19, 1999 ",24,Portugal,Portugal,Marco de Canaveses,"1,75",€400k,Defender,RM,Portugal,,RM,
,Euclides Cabral,Right-Back,"Jan 5, 1999 ",25,"Portugal, Cape Verde",Portugal,Lisboa,"1,78",€300k,Defender,LB   RM,Portugal, Cape Verde,LB,RM
21.0,Pedro Lobo,Right-Back,"May 17, 1999 ",24,Portugal,Portugal,Lissabon,"1,83",€50k,Defender,RW,Portugal,,RW,
2.0,João Pedro,Right-Back,"Jul 21, 1999 ",24,Portugal,Portugal,Coimbra,,-,Defender,,Portugal,,,
21.0,Diogo Silva,Right-Back,"May 29, 1999 ",24,Portugal,Portugal,Lisboa,"1,75",-,Defender,LB,Portugal,,LB,
2.0,João Freire,Right-Back,"Sep 27, 1999 ",24,Portugal,Portugal,Coimbra,"1,73",-,Defender,,Portugal,,,
5.0,João Ferreira,Right-Back,"Aug 5, 1999 ",24,Portugal,Portugal,Braga,"1,75",-,Defender,RM,Portugal,,RM,
33.0,Ferreira,Right-Back,"Nov 7, 1999 ",24,Portugal,Portugal,Penafiel,"1,87",-,Defender,CM,Portugal,,CM,
78.0,João Teles,Right-Back,"Mar 10, 1999 ",25,Portugal,Portugal,Marinha Grande,"1,74",-,Defender,RM   RW,Portugal,,RM,RW
,Nuno Ascenção,Right-Back,"Jan 21, 1999 ",25,Portugal,Portugal,Serta,,-,Defender,,Portugal,,,
12.0,Thierry Correia,Right-Back,"Mar 9, 1999 ",25,"Portugal, Cape Verde",Portugal,Amadora,"1,76",€6.00m,Defender,LB   RM,Portugal, Cape Verde,LB,RM
21.0,Aldair,Right-Back,"Oct 11, 1999 ",24,Portugal,Portugal,Torres Vedras,"1,80",€500k,Defender,RW,Portugal,,RW,
48.0,Tiago Manso,Right-Back,"Dec 13, 1999 ",24,Portugal,Portugal,Lisboa,"1,74",€450k,Defender,LB   RM,Portugal,,LB,RM
21.0,Tomás Domingos,Right-Back,"May 1, 1999 ",24,Portugal,Portugal,Oeiras,"1,75",€300k,Defender,RM   RW,Portugal,,RM,RW
70.0,João Oliveira,Right-Back,"Jan 30, 1999 ",25,Portugal,Portugal,Vila Nova de Famalicao,"1,78",€200k,Defender,RM,Portugal,,RM,
77.0,Tiago Ferreira,Right-Back,"Aug 17, 1999 ",24,Portugal,Portugal,Leiria,"1,74",-,Defender,RM   RW,Portugal,,RM,RW
,Marcelo Prata,Right-Back,"Feb 21, 1999 ",25,Portugal,Portugal,Moura,"1,69",-,Defender,,Portugal,,,
,Ravazzini,Right-Back,"Jul 20, 1999 ",24,Portugal,Portugal,Viana do Castelo,"1,82",-,Defender,CB,Portugal,,CB,
11.0,Daniel Gregório,Right-Back,"Feb 12, 1999 ",25,Portugal,Portugal,Portimao,"1,73",-,Defender,RM   RW,Portugal,,RM,RW
18.0,João Rodrigues,Right-Back,"Feb 9, 1999 ",25,Portugal,Portugal,Mealhada,,-,Defender,,Portugal,,,
77.0,Nuno Rocha,Right-Back,"Feb 6, 1999 ",25,Portugal,Portugal,Arouca,"1,75",-,Defender,RW,Portugal,,RW,
35.0,Paulo Gonçalves,Right-Back,"Oct 25, 1999 ",24,Portugal,Portugal,Sintra,"1,75",-,Defender,RM,Portugal,,RM,
,Pedro Carvalho,Right-Back,"Jan 12, 1999 ",25,Portugal,Portugal,,"1,79",-,Defender,RM   RW,Portugal,,RM,RW
22.0,Francisco Ferreira,Right-Back,"Jan 22, 1999 ",25,Portugal,Portugal,Santa Maria da Feira,"1,74",-,Defender,RM,Portugal,,RM,
,João Pedro,Right-Back,"Apr 9, 1999 ",25,Portugal,Portugal,Vila Nova de Famalicao,"1,77",-,Defender,LB   RM,Portugal,,LB,RM
,Alex Miguel,Right-Back,"May 12, 1999 ",24,Portugal,Portugal,,"1,80",-,Defender,LB   CB,Portugal,,LB,CB
,Vareiro,Right-Back,"Jul 6, 1999 ",24,Portugal,Portugal,Ovar,"1,76",-,Defender,LB,Portugal,,LB,
17.0,Duarte Melo,Right-Back,"Nov 8, 1999 ",24,Portugal,Portugal,Angra do Heroismo,,-,Defender,CM   RM,Portugal,,CM,RM
27.0,João Martins,Right-Back,"May 16, 1999 ",24,Portugal,Portugal,Santo Tirso,"1,83",-,Defender,RW   CF,Portugal,,RW,CF
2.0,Rafinha,Right-Back,"Aug 11, 1999 ",24,Portugal,Portugal,Espinho,"1,70",-,Defender,LB,Portugal,,LB,
,Gonçalo Azevedo,Right-Back,"Feb 11, 1999 ",25,Portugal,Portugal,Estarreja,,-,Defender,RM   RW,Portugal,,RM,RW
,Diogo Gonçalves,Right-Back,"Jan 1, 1999 ",25,Portugal,Portugal,Almada,"1,78",-,Defender,LB,Portugal,,LB,
,Daniel Afonso,Right-Back,"Apr 20, 1999 ",24,Portugal,Portugal,Lisboa,"1,68",-,Defender,LB   RM,Portugal,,LB,RM
20.0,Fábio Faria,Right-Back,"Aug 17, 1999 ",24,Portugal,Portugal,Funchal,"1,75",-,Defender,RW   LW,Portugal,,RW,LW
13.0,Zézé,Right-Back,"Nov 16, 1999 ",24,Portugal,Portugal,Amarante,,-,Defender,CM,Portugal,,CM,
12.0,Vitinha,Right-Back,"Jan 30, 1999 ",25,Portugal,Portugal,Sao Joao da Madeira,"1,70",-,Defender,LB   RM,Portugal,,LB,RM
,Ricardinho,Right-Back,"Aug 9, 1999 ",24,Portugal,Portugal,Trofa,"1,70",-,Defender,,Portugal,,,
17.0,Piti,Right-Back,"Dec 19, 1999 ",24,Portugal,Portugal,Oliveira do Hospital,"1,73",-,Defender,DM   CM,Portugal,,DM,CM
22.0,Pedro Araújo,Right-Back,"Sep 21, 1999 ",24,Portugal,Portugal,Braga,"1,82",-,Defender,RM   LM,Portugal,,RM,LM
,Demétrio Rafael Carvalho,Right-Back,"Jan 17, 1999 ",25,Portugal,Portugal,Lisboa,"1,70",-,Defender,,Portugal,,,
23.0,João Mário,Right-Back,"Jan 3, 2000 ",24,Portugal,Portugal,Sao Joao da Madeira,"1,78",€16.00m,Defender,RW   RM,Portugal,,RW,RM
27.0,Rodrigo Conceição,Right-Back,"Jan 2, 2000 ",24,Portugal,Portugal,Lisboa,"1,75",€1.20m,Defender,RM   RW,Portugal,,RM,RW
76.0,Dinis Pinto,Right-Back,"Aug 24, 2000 ",23,Portugal,Portugal,Porto,"1,78",€300k,Defender,RW   LW,Portugal,,RW,LW
,Ângelo Taveira,Right-Back,"May 13, 2000 ",23,Portugal,Portugal,Odiaxere,"1,83",€50k,Defender,LW   RW,Portugal,,LW,RW
20.0,Diogo Moura,Right-Back,"Jun 26, 2000 ",23,Portugal,Portugal,Santo Ildefonso,"1,71",-,Defender,LB,Portugal,,LB,
52.0,Rafael Rosas,Right-Back,"Feb 10, 2000 ",24,Portugal,Portugal,,"1,78",-,Defender,RM   RW,Portugal,,RM,RW
,Mário Cordeiro,Right-Back,"Jan 28, 2000 ",24,Portugal,Portugal,,,-,Defender,RM   RW,Portugal,,RM,RW
2.0,Bernardo Ferreira,Right-Back,"Nov 1, 2000 ",23,Portugal,Portugal,Cantanhede,"1,73",-,Defender,,Portugal,,,
74.0,Hugo Morais,Right-Back,"Apr 16, 2000 ",23,Portugal,Portugal,Castro Daire,"1,83",-,Defender,CB,Portugal,,CB,
20.0,Diogo Moura,Right-Back,"Jun 26, 2000 ",23,Portugal,Portugal,Santo Ildefonso,"1,71",-,Defender,LB,Portugal,,LB,
30.0,Carlos Silva,Right-Back,"Jun 8, 2000 ",23,Portugal,Portugal,Peso da Regua,"1,81",-,Defender,RW,Portugal,,RW,
70.0,Rivaldo,Right-Back,"Sep 18, 2000 ",23,"Portugal, Norway",Portugal,Lisboa,"1,84",-,Defender,LB   LW,Portugal, Norway,LB,LW
12.0,Jota Oliveira,Right-Back,"Aug 21, 2000 ",23,Portugal,Portugal,Povoa de Varzim,"1,77",-,Defender,RM   LM,Portugal,,RM,LM
20.0,Costinha,Right-Back,"Mar 26, 2000 ",24,Portugal,Portugal,,"1,81",€3.50m,Defender,RM,Portugal,,RM,
7.0,Diogo Brás,Right-Back,"Mar 16, 2000 ",24,"Portugal, Angola",Portugal,Chaves,"1,81",€350k,Defender,LB   RW,Portugal, Angola,LB,RW
,Bernardo Caldeira,Right-Back,"Sep 12, 2000 ",23,Portugal,Portugal,Amadora,"1,77",€150k,Defender,,Portugal,,,
46.0,David Pires,Right-Back,"Jan 5, 2000 ",24,Portugal,Portugal,Coimbra,"1,78",-,Defender,,Portugal,,,
,Ivo Magalhães,Right-Back,"Jul 14, 2000 ",23,Portugal,Portugal,Cinfaes,"1,74",-,Defender,,Portugal,,,
20.0,Rodrigo Barradas,Right-Back,"Nov 24, 2000 ",23,Portugal,Portugal,Fratel,,-,Defender,,Portugal,,,
2.0,Leandro Correia,Right-Back,"Jun 18, 2000 ",23,Portugal,Portugal,Lisboa,"1,71",-,Defender,RW,Portugal,,RW,
17.0,Iuri Rocha,Right-Back,"Aug 29, 2000 ",23,Portugal,Portugal,Lisboa,"1,80",-,Defender,RM   RW,Portugal,,RM,RW
77.0,Fábio Miranda,Right-Back,"Sep 10, 2000 ",23,Portugal,Portugal,,"1,77",-,Defender,,Portugal,,,
,Daniel Paquete,Right-Back,"Jun 4, 2000 ",23,Portugal,Portugal,,"1,83",-,Defender,RW,Portugal,,RW,
11.0,João Brízida,Right-Back,"Sep 2, 2000 ",23,Portugal,Portugal,,"1,85",-,Defender,LW   RW,Portugal,,LW,RW
2.0,Pedro Vieira,Right-Back,"Nov 6, 2000 ",23,Portugal,Portugal,Valongo,"1,80",-,Defender,LB   RM,Portugal,,LB,RM
2.0,Tiago Oliveira,Right-Back,"Jun 21, 2000 ",23,Portugal,Portugal,Lisboa,"1,85",-,Defender,,Portugal,,,
,Francisco Alves,Right-Back,"Dec 9, 2000 ",23,Portugal,Portugal,Beja,"1,73",-,Defender,,Portugal,,,
2.0,Hugo Meireles,Right-Back,"Mar 15, 2000 ",24,Portugal,Portugal,Lousada,"1,82",-,Defender,CB   RM,Portugal,,CB,RM
,Henrique Gomes,Right-Back,"Oct 9, 2000 ",23,Portugal,Portugal,,,-,Defender,,Portugal,,,
,Leo Santos,Right-Back,"Feb 17, 2000 ",24,Portugal,Portugal,Feijo,"1,74",-,Defender,CB,Portugal,,CB,
,Duarte Azevedo,Right-Back,"May 10, 2000 ",23,Portugal,Portugal,Funchal,,-,Defender,,Portugal,,,
19.0,David Semedo,Right-Back,"Apr 30, 2000 ",23,"Portugal, Cape Verde",Portugal,,"1,81",-,Defender,RM   RW,Portugal, Cape Verde,RM,RW
,Daniel Oliveira,Right-Back,"Feb 25, 2000 ",24,Portugal,Portugal,,,-,Defender,,Portugal,,,
25.0,Gabriel Castro,Right-Back,"Nov 15, 2000 ",23,"Portugal, Sao Tome and Principe",Portugal,Lisboa,"1,82",-,Defender,LB   CB,Portugal, Sao Tome and Principe,LB,CB
,Martim Fonseca,Right-Back,"Aug 25, 2000 ",23,Portugal,Portugal,Sintra,"1,82",-,Defender,,Portugal,,,
20.0,Lisandro Tipote,Right-Back,"Aug 15, 2000 ",23,Portugal,Portugal,Amora,"1,75",-,Defender,,Portugal,,,
,Luís Silva,Right-Back,"Sep 23, 2000 ",23,Portugal,Portugal,Lisboa,"1,74",-,Defender,LB,Portugal,,LB,
,Márcio Novais,Right-Back,"Feb 24, 2000 ",24,Portugal,Portugal,Guimaraes,"1,70",-,Defender,,Portugal,,,
,David Dias,Right-Back,"Mar 17, 2000 ",24,Portugal,Portugal,Macinhata do Vouga,"1,67",-,Defender,,Portugal,,,
20.0,Miguel Mangerico,Right-Back,"Apr 28, 2000 ",23,Portugal,Portugal,Montemor-O-Novo,"1,75",-,Defender,RM   LM,Portugal,,RM,LM
25.0,Felipe Amaral,Right-Back,"Apr 11, 2000 ",23,"Spain, Portugal",Portugal,Barreiro,"1,70",-,Defender,,Spain, Portugal,,
,João Bagão,Right-Back,"Mar 14, 2000 ",24,Portugal,Portugal,Setubal,"1,78",-,Defender,,Portugal,,,
25.0,David Bonito,Right-Back,"Feb 25, 2000 ",24,Portugal,Portugal,Alcochete,"1,74",-,Defender,LB   CM,Portugal,,LB,CM
,Gonçalo Silva,Right-Back,"Mar 15, 2000 ",24,Portugal,Portugal,Gondomar,,-,Defender,,Portugal,,,
,Lucas Camelo,Right-Back,"Jun 14, 2000 ",23,Portugal,Portugal,Porto,"1,75",-,Defender,,Portugal,,,
,Diogo Barata,Right-Back,"Aug 28, 2000 ",23,Portugal,Portugal,Castelo Branco,,-,Defender,LB,Portugal,,LB,
23.0,Miguel Dias,Right-Back,"Apr 21, 2000 ",23,Portugal,Portugal,Braga,"1,75",-,Defender,,Portugal,,,
,Bernardo Prego,Right-Back,"Feb 9, 2000 ",24,Portugal,Portugal,Evora,,-,Defender,RM   RW,Portugal,,RM,RW
2.0,Rúben Teixeira,Right-Back,"Jun 15, 2000 ",23,Portugal,Portugal,Ermesinde,"1,75",-,Defender,LB   RM,Portugal,,LB,RM
6.0,Daniel Viveiros,Right-Back,"Mar 13, 2000 ",24,Portugal,Portugal,Figueira da Foz,"1,77",-,Defender,RM   CB,Portugal,,RM,CB
,Pedro Branco,Right-Back,"Feb 6, 2000 ",24,Portugal,Portugal,Portimao,"1,72",-,Defender,RM   RW,Portugal,,RM,RW
11.0,Diogo,Right-Back,"Jun 6, 2000 ",23,Portugal,Portugal,Montemor-o-Novo,,-,Defender,,Portugal,,,
17.0,Luís Pinheiro,Right-Back,"Jan 8, 2000 ",24,Portugal,Portugal,Vila Vicosa,"1,75",-,Defender,RM,Portugal,,RM,
79.0,Pedro Malheiro,Right-Back,"Jan 21, 2001 ",23,Portugal,Portugal,Vila Verde,"1,79",€4.00m,Defender,RM   RW,Portugal,,RM,RW
28.0,Zé Carlos,Right-Back,"Oct 30, 2001 ",22,Portugal,Portugal,Matosinhos,"1,72",€2.00m,Defender,RM   CM,Portugal,,RM,CM
50.0,Jójó,Right-Back,"May 19, 2001 ",22,"Cape Verde, Portugal",Portugal,Lisboa,"1,88",€300k,Defender,RM   RW,Cape Verde, Portugal,RM,RW
62.0,Fabinho,Right-Back,"Mar 29, 2001 ",23,Portugal,Portugal,Lisboa,"1,83",€200k,Defender,CB,Portugal,,CB,
,João Pedro,Right-Back,"Oct 23, 2001 ",22,Portugal,Portugal,Macedo de Cavaleiros,,-,Defender,,Portugal,,,
16.0,Ricardo Cabral,Right-Back,"Nov 30, 2001 ",22,Portugal,Portugal,Amadora,"1,81",-,Defender,RW,Portugal,,RW,
17.0,Rodrigo Magalhães,Right-Back,"Jan 7, 2001 ",23,Portugal,Portugal,Tires,"1,85",-,Defender,,Portugal,,,
,Panuchi,Right-Back,"May 18, 2001 ",22,"Portugal, Guinea-Bissau",Portugal,Lisboa,"1,70",-,Defender,RW   LW,Portugal, Guinea-Bissau,RW,LW
